Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008
"Addison County","Addison County, Vermont","1984773428","107309272","050","00","1","1","50001","50","001",36821,35078,283,88,532,6,202,632
"Bennington County","Bennington County, Vermont","1748190656","6931622","050","00","1","1","50003","50","003",37125,35858,308,94,269,16,113,467
"Caledonia County","Caledonia County, Vermont","1680549138","22462605","050","00","1","1","50005","50","005",31227,30138,167,138,251,1,92,440
"Chittenden County","Chittenden County, Vermont","1389731195","214245176","050","00","1","1","50007","50","007",156545,144752,3319,414,4399,48,605,3008
"Essex County","Essex County, Vermont","1718710619","30291452","050","00","1","1","50009","50","009",6306,6138,18,36,22,0,9,83
"Franklin County","Franklin County, Vermont","1641291023","150933050","050","00","1","1","50011","50","011",47746,45648,213,500,231,14,125,1015
"Grand Isle County","Grand Isle County, Vermont","211890629","292297787","050","00","1","1","50013","50","013",6970,6641,25,66,21,4,18,195
"Lamoille County","Lamoille County, Vermont","1188278167","12661498","050","00","1","1","50015","50","015",24475,23656,149,94,125,4,83,364
"Orange County","Orange County, Vermont","1779407245","13552112","050","00","1","1","50017","50","017",28936,28077,110,85,140,3,82,439
"Orleans County","Orleans County, Vermont","1795556430","72249285","050","00","1","1","50019","50","019",27231,26310,162,123,93,9,89,445
"Rutland County","Rutland County, Vermont","2408224790","38744350","050","00","1","1","50021","50","021",61642,59829,334,150,370,10,150,799
"Washington County","Washington County, Vermont","1779926134","21213229","050","00","1","1","50023","50","023",59534,57192,441,151,502,11,185,1052
"Windham County","Windham County, Vermont","2033930747","33055836","050","00","1","1","50025","50","025",44513,42412,421,114,463,21,211,871
"Windsor County","Windsor County, Vermont","2510570288","19288908","050","00","1","1","50027","50","027",56670,54563,327,154,529,13,141,943
